,OrderID,Customer,Product,Quantity,UnitPrice,OrderDate,Source,Total_Amount,Month
0,1,Alice,Laptop,1,1000,31-01-2024,Excel,1000,1
1,2,Bob,Tablet,2,500,29-02-2024,Excel,1000,2
2,3,Charlie,Laptop,1,1200,31-03-2024,Excel,1200,3
3,4,Diana,Phone,3,300,30-04-2024,Excel,900,4
4,5,Eve,Headphones,2,150,31-05-2024,Excel,300,5
5,6,Frank,Laptop,2,1100,29-02-2024,CSV,2200,2
6,7,Grace,Laptop,1,1050,31-03-2024,CSV,1050,3
7,8,Hannah,Tablet,1,550,30-04-2024,CSV,550,4
8,9,Ian,Phone,4,320,31-05-2024,CSV,1280,5
9,10,Jack,Phone,2,330,30-06-2024,CSV,660,6
10,11,Karen,Laptop,1,990,01-03-2024,JSON,990,3
11,12,Leo,Headphones,2,180,02-03-2024,JSON,360,3
12,13,Mona,Tablet,1,520,03-03-2024,JSON,520,3
13,17,Quincy,Laptop,2,1200,01-05-2024,SqlLite,2400,5
14,18,Rachel,Phone,3,340,02-05-2024,SqlLite,1020,5
15,19,Steve,Tablet,1,580,03-05-2024,SqlLite,580,5
16,501,Ivy,Tablet,2,650,02-05-2024,Dictionary,1300,5
17,502,Jack,Laptop,1,1250,03-05-2024,Dictionary,1250,5
